dataset_id	feature	missing_rate
MIMIC_IV_ED	age	0.0
MIMIC_IV_ED	sex	0.0
MIMIC_IV_ED	arrems	0.0
MIMIC_IV_ED	immedr	0.003669724770642202
MIMIC_IV_ED	temp_f	0.01651376146788991
MIMIC_IV_ED	pulse	0.009174311926605505
MIMIC_IV_ED	resp	0.014678899082568808
MIMIC_IV_ED	sbp	0.009174311926605505
MIMIC_IV_ED	dbp	0.014678899082568808
MIMIC_IV_ED	spo2	0.025688073394495414
MIMIC_IV_ED	pain	0.05871559633027523
MIMIC_IV_ED	month	0.0
MIMIC_IV_ED	day_of_week	0.0
MIMIC_IV_ED	arr_hour_sin	0.0
MIMIC_IV_ED	arr_hour_cos	0.0
NHAMCS_ED_2019	age	0.0
NHAMCS_ED_2019	sex	0.0
NHAMCS_ED_2019	arrems	0.020833333333333332
NHAMCS_ED_2019	immedr	0.3125
NHAMCS_ED_2019	temp_f	0.041666666666666664
NHAMCS_ED_2019	pulse	0.0
NHAMCS_ED_2019	resp	0.020833333333333332
NHAMCS_ED_2019	sbp	0.0
NHAMCS_ED_2019	dbp	0.0
NHAMCS_ED_2019	spo2	0.020833333333333332
NHAMCS_ED_2019	pain	0.375
NHAMCS_ED_2019	month	0.0
NHAMCS_ED_2019	day_of_week	0.0
NHAMCS_ED_2019	arr_hour_sin	0.041666666666666664
NHAMCS_ED_2019	arr_hour_cos	0.041666666666666664
