dataset_id	feature	missing_rate
MIMIC_IV_ED	age	0.0
MIMIC_IV_ED	sex	0.0
MIMIC_IV_ED	arrems	0.0
MIMIC_IV_ED	immedr	0.002360267162155376
MIMIC_IV_ED	temp_f	0.019986943202932757
MIMIC_IV_ED	pulse	0.007984733591121378
MIMIC_IV_ED	resp	0.015969467182242757
MIMIC_IV_ED	sbp	0.009993471601466379
MIMIC_IV_ED	dbp	0.01290614171646663
MIMIC_IV_ED	spo2	0.01591924873198413
MIMIC_IV_ED	pain	0.04730578014362477
MIMIC_IV_ED	month	0.0
MIMIC_IV_ED	day_of_week	0.0
MIMIC_IV_ED	arr_hour_sin	0.0
MIMIC_IV_ED	arr_hour_cos	0.0
NHAMCS_ED_2019	age	0.0
NHAMCS_ED_2019	sex	0.0
NHAMCS_ED_2019	arrems	0.02977667493796526
NHAMCS_ED_2019	immedr	0.3076923076923077
NHAMCS_ED_2019	temp_f	0.04466501240694789
NHAMCS_ED_2019	pulse	0.04838709677419355
NHAMCS_ED_2019	resp	0.04838709677419355
NHAMCS_ED_2019	sbp	0.031017369727047148
NHAMCS_ED_2019	dbp	0.03225806451612903
NHAMCS_ED_2019	spo2	0.043424317617866005
NHAMCS_ED_2019	pain	0.3200992555831266
NHAMCS_ED_2019	month	0.0
NHAMCS_ED_2019	day_of_week	0.0
NHAMCS_ED_2019	arr_hour_sin	0.03970223325062035
NHAMCS_ED_2019	arr_hour_cos	0.03970223325062035
