dataset_id	feature	missing_rate
MIMIC_IV_ED	age	0.0
MIMIC_IV_ED	sex	0.0
MIMIC_IV_ED	arrems	0.0
MIMIC_IV_ED	immedr	0.0028338646829613886
MIMIC_IV_ED	temp_f	0.020191285866099893
MIMIC_IV_ED	pulse	0.008147360963513992
MIMIC_IV_ED	resp	0.016294721927027984
MIMIC_IV_ED	sbp	0.008855827134254339
MIMIC_IV_ED	dbp	0.012043924902585901
MIMIC_IV_ED	spo2	0.018420120439249024
MIMIC_IV_ED	pain	0.044987601842012045
MIMIC_IV_ED	month	0.0
MIMIC_IV_ED	day_of_week	0.0
MIMIC_IV_ED	arr_hour_sin	0.0
MIMIC_IV_ED	arr_hour_cos	0.0
NHAMCS_ED_2019	age	0.0
NHAMCS_ED_2019	sex	0.0
NHAMCS_ED_2019	arrems	0.045714285714285714
NHAMCS_ED_2019	immedr	0.29714285714285715
NHAMCS_ED_2019	temp_f	0.03428571428571429
NHAMCS_ED_2019	pulse	0.017142857142857144
NHAMCS_ED_2019	resp	0.045714285714285714
NHAMCS_ED_2019	sbp	0.017142857142857144
NHAMCS_ED_2019	dbp	0.017142857142857144
NHAMCS_ED_2019	spo2	0.03428571428571429
NHAMCS_ED_2019	pain	0.29714285714285715
NHAMCS_ED_2019	month	0.0
NHAMCS_ED_2019	day_of_week	0.0
NHAMCS_ED_2019	arr_hour_sin	0.022857142857142857
NHAMCS_ED_2019	arr_hour_cos	0.022857142857142857
